iter	RMSE
0	0.0832320732
1	0.08150559628
2	0.07990323944
3	0.07835317516
4	0.07687037559
5	0.07544298261
6	0.07402001469
7	0.07275280428
8	0.07148859486
9	0.0703733958
10	0.06927253646
11	0.06829086399
12	0.06740189744
13	0.06656785597
14	0.06578563709
15	0.06496061536
16	0.0642168027
17	0.06350357268
18	0.06284745821
19	0.06220900295
20	0.06167998218
21	0.06114069379
22	0.06055326005
23	0.06002090689
24	0.05956299593
25	0.05917828456
26	0.05871981178
27	0.05831312126
28	0.0579023882
29	0.05754237537
30	0.05718979909
31	0.05682115579
32	0.05651556529
33	0.05625934627
34	0.05598759007
35	0.05569538295
36	0.05545191541
37	0.05517317114
38	0.05488526828
39	0.05463076241
40	0.05441516301
41	0.05420304395
42	0.05397778682
43	0.05373344323
44	0.05354963347
45	0.05336741625
46	0.05313073152
47	0.05293665023
48	0.05275840316
49	0.05257471274
50	0.05237554059
51	0.05218965726
52	0.05201815208
53	0.05187616557
54	0.05171605086
55	0.0515231909
56	0.05139065846
57	0.0512427612
58	0.05109773015
59	0.05095639271
60	0.05077824018
61	0.05066031498
62	0.05051586472
63	0.0503980872
64	0.05027223198
65	0.05011927915
66	0.04997879385
67	0.04982878988
68	0.04971328842
69	0.04956558573
70	0.04944045587
71	0.04930271154
72	0.04918628063
73	0.04908210876
74	0.04899690458
75	0.04887118376
76	0.04877341617
77	0.04866199355
78	0.04855419953
79	0.04844345594
80	0.04835061093
81	0.04824509097
82	0.04816355123
83	0.04807846865
84	0.04798810265
85	0.04790491636
86	0.04780406592
87	0.04772179959
88	0.04763599231
89	0.04755402175
90	0.04749532301
91	0.04741670835
92	0.04735014714
93	0.04724379339
94	0.04713300693
95	0.04702110388
96	0.04693730888
97	0.04687998358
98	0.0468095383
99	0.04674898255
100	0.04666296093
101	0.04657799208
102	0.04649665235
103	0.04643419181
104	0.04636275055
105	0.04628956744
106	0.04622525297
107	0.04614610983
108	0.04607762542
109	0.04603311889
110	0.04595707978
111	0.04589392834
112	0.04583364697
113	0.04578681087
114	0.04572731292
115	0.04567117688
116	0.04560763287
117	0.04553679995
118	0.04549879374
119	0.04544461972
120	0.0453761479
121	0.04533121573
122	0.04527910725
123	0.04521714009
124	0.04517599443
125	0.04510548514
126	0.04505810793
127	0.04500364412
128	0.04495288623
129	0.04489789997
130	0.0448621744
131	0.04482372685
132	0.04476956357
133	0.04473083934
134	0.04468388521
135	0.04463318811
136	0.04461576596
137	0.04457378693
138	0.04451838883
139	0.04448625385
140	0.0444061837
141	0.04434212968
142	0.0443015017
143	0.04424743129
144	0.04420853694
145	0.04417204059
146	0.04410633553
147	0.04406561834
148	0.04401720209
149	0.04396945976
150	0.04393662096
151	0.04389466075
152	0.04386002057
153	0.04378921369
154	0.04374902127
155	0.04371854915
156	0.04368002087
157	0.04363797374
158	0.04359966527
159	0.04355599986
160	0.04351058144
161	0.04347927911
162	0.04344973986
163	0.04341774612
164	0.04338820183
165	0.04334524508
166	0.04329635003
167	0.0432497109
168	0.04322560414
169	0.04317295465
170	0.04314766367
171	0.04312054585
172	0.04311483597
173	0.04309662567
174	0.04306074367
175	0.04302659254
176	0.04297119787
177	0.04290997423
178	0.04287994929
179	0.04284887949
180	0.04280479359
181	0.04277016989
182	0.04276473807
183	0.04274124833
184	0.04269893307
185	0.04265735042
186	0.04261047549
187	0.04257338121
188	0.04254991126
189	0.04252251863
190	0.04250797472
191	0.04246777689
192	0.04242950664
193	0.04239556417
194	0.04235774172
195	0.0423331649
196	0.04228592375
197	0.04222698476
198	0.04218241485
199	0.04217822117
