Model,R2 Score,MAE
Random Forest,0.6455639218269049,1.1889183055975792
Gradient Boosting,0.729533564237564,0.8230839628700222
XGBoost,0.6724371314048767,0.9774899482727051
LightGBM,0.7244624722790216,0.8094748709183583
CatBoost,0.7401308079034742,0.6352214967723899
